iter	Passed	Remaining
644	16945	4072
645	16968	4045
646	16990	4017
647	17012	3990
648	17062	3969
649	17098	3945
650	17134	3921
651	17169	3897
652	17200	3872
653	17230	3846
654	17255	3819
655	17280	3793
656	17304	3766
657	17326	3739
658	17353	3712
659	17383	3687
660	17407	3660
661	17429	3633
662	17450	3606
663	17472	3578
664	17500	3552
665	17526	3526
666	17562	3501
667	17599	3477
668	17635	3453
669	17668	3428
670	17705	3403
671	17740	3379
672	17785	3356
673	17812	3329
674	17838	3303
675	17861	3276
676	17884	3249
677	17907	3222
678	17938	3196
679	17971	3171
680	17999	3145
681	18032	3119
682	18066	3094
683	18105	3070
684	18140	3045
685	18173	3020
686	18204	2994
687	18235	2968
688	18260	2941
689	18285	2915
690	18329	2891
691	18358	2865
692	18383	2838
693	18411	2812
694	18454	2788
695	18495	2763
696	18536	2739
697	18575	2714
698	18610	2689
699	18644	2663
700	18672	2637
701	18703	2611
702	18742	2586
703	18782	2561
704	18829	2537
705	18872	2512
706	18922	2489
707	18964	2464
708	19003	2439
709	19030	2412
710	19061	2386
711	19109	2361
712	19159	2337
713	19187	2311
714	19213	2284
715	19240	2257
716	19267	2230
717	19295	2203
718	19322	2176
719	19351	2150
720	19378	2123
721	19409	2096
722	19440	2070
723	19482	2045
724	19515	2018
725	19549	1992
726	19580	1966
727	19614	1939
728	19644	1913
729	19671	1886
730	19699	1859
731	19724	1832
732	19751	1805
733	19777	1778
734	19813	1752
735	19839	1725
736	19869	1698
737	19897	1671
738	19924	1644
739	19955	1617
740	19982	1591
741	20012	1564
742	20038	1537
743	20065	1510
744	20094	1483
745	20132	1457
746	20165	1430
747	20198	1404
748	20232	1377
749	20267	1351
750	20299	1324
751	20326	1297
752	20351	1270
753	20374	1242
754	20396	1215
755	20419	1188
756	20445	1161
757	20468	1134
758	20490	1106
759	20513	1079
760	20537	1052
761	20560	1025
762	20581	998
763	20603	970
764	20625	943
765	20650	916
766	20672	889
767	20695	862
768	20717	835
769	20761	808
770	20786	781
771	20822	755
772	20845	728
773	20867	700
774	20893	673
775	20917	646
776	20948	620
777	20988	593
778	21010	566
779	21032	539
780	21057	512
781	21079	485
782	21101	458
783	21130	431
784	21169	404
785	21202	377
786	21236	350
787	21268	323
788	21300	296
789	21332	270
790	21366	243
791	21392	216
792	21416	189
793	21441	162
794	21466	135
795	21492	108
796	21517	80
797	21545	53
798	21570	26
799	21594	0
